Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,DayOfYear,Quarter,Month_Sin,Month_Cos,Week_Sin,Week_Cos,Sales_per_CPI,Sales_per_Fuel,Sales_Lag1,Sales_Lag4,Sales_MA4,Sales_MA12
1,2024-01-01,965993.52,0,53.53,3.823,284.13,5.724,2024,1,1,1,1,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,3399.8293738781545,252679.4454616793,,,965993.52,965993.52
1,2021-02-01,1199157.82,0,31.81,3.431,267.15,6.426,2021,2,5,32,1,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,4488.706045292907,349506.7968522297,965993.52,,1082575.67,1082575.67
1,2021-03-01,1014485.55,0,55.89,2.599,265.91,6.313,2021,3,9,60,1,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,3815.1462900981533,390336.879569065,1199157.82,,1059878.9633333334,1059878.9633333334
1,2024-04-01,997417.25,0,68.46,3.606,286.89,5.794,2024,4,14,92,2,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,3476.6539440203564,276599.34830837493,1014485.55,,1044263.535,1044263.535
1,2023-05-01,1226409.17,0,45.23,3.268,281.71,5.805,2023,5,18,121,2,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,4353.4456355826915,375278.20379436965,997417.25,965993.52,1109367.4475,1080692.662
1,2020-06-01,882698.51,0,81.9,2.57,260.69,4.972,2020,6,23,153,2,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,3386.0083240630634,343462.4552529183,1226409.17,1199157.82,1030252.6199999999,1047693.6366666667
1,2024-07-01,1334881.29,0,87.93,4.205,287.35,6.079,2024,7,27,183,3,-0.4999999999999997,-0.8660254037844388,-0.12053668025532283,-0.992708874098054,4645.489089959979,317450.96076099883,882698.51,1014485.55,1110351.555,1088720.4442857143
1,2022-08-01,931401.76,0,83.4,3.537,276.45,5.842,2022,8,31,213,3,-0.8660254037844385,-0.5000000000000004,-0.5680647467311556,-0.8229838658936566,3369.1508771929825,263331.0036754312,1334881.29,997417.25,1093847.6825,1069055.6087500001
1,2021-11-01,1270865.38,0,59.38,3.197,270.84,6.635,2021,11,44,305,4,-0.5000000000000004,0.8660254037844384,-0.822983865893657,0.5680647467311548,4692.310515433466,397518.10447294335,931401.76,1226409.17,1104961.7349999999,1091478.9166666667
1,2023-01-02,956757.97,0,-0.87,3.781,280.32,4.982,2023,1,1,2,1,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,3413.0920733447488,253043.63131446706,1270865.38,882698.51,1123476.6,1078006.8220000002
1,2020-03-02,1238237.99,0,82.67,2.713,261.1,6.0,2020,3,10,62,1,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,4742.389850631941,456409.1374861777,956757.97,1334881.29,1099315.775,1092573.291818182
